606,2727.0359,5671.0156
608,1261.7416,5215.4976
610,1776.8774,4301.9214
612,2101.3489,3333.5833
614,2816.2324,2610.7915
616,3745.8682,2213.8247
618,3495.1868,2115.0901
620,3339.0935,2273.9155
622,4675.8467,2650.4265
624,5476.9375,3162.8865
626,4996.8555,3653.6873
628,4064.1145,3933.8628
630,4437.4873,3909.5378
632,3100.2112,3651.1794
634,3240.1638,3327.9578
636,2051.6736,3094.0088
638,1971.2876,3042.696
640,2779.0549,3217.7266
642,2975.0278,3627.7166
644,4437.2856,4224.5488
646,4163.4219,4863.8232
648,4365.6895,5314.7017
650,4295.0947,5388.188
652,4780.708,5088.7485
654,4833.7012,4610.5527
656,4047.1025,4182.0859
658,4274.9014,3946.2251
660,4056.1221,3942.3582
662,4274.2969,4126.9136
664,4319.5493,4378.9995
666,4266.4619,4525.4507
668,4304.6362,4432.4741
670,4821.0645,4112.9604
672,4518.8105,3718.0793
674,4483.1675,3422.6267
676,4486.5786,3338.814
678,4978.3301,3507.6033
680,4560.6558,3902.583
682,5061.5117,4403.9995
684,5239.7432,4791.1333
686,3925.7517,4851.5137
688,3070.4893,4559.6509
690,3621.3628,4105.1763
692,3151.3687,3732.0122
694,3194.1858,3603.4834
696,4336.374,3794.074
698,4510.2451,4314.9604
700,4685.8301,5088.0273
702,5126.311,5887.4116
704,5553.6064,6384.0078
706,4554.0767,6363.8311
708,5798.582,5913.4312
710,6351.8457,5325.9604
712,6151.5034,4873.9292
714,6131.0845,4698.439
716,5733.7607,4830.3682
718,5266.9844,5220
720,4855.7979,5734.0156
722,4843.1357,6154.7764
724,4331.1743,6260.6587
726,4346.7339,5962.0859
728,4759.8916,5369.7646
730,5730.4673,4704.1172
732,2855.1929,4160.2627
734,4514.5234,3841.6907
736,4061.925,3778.1797
738,4564.4692,3951.2788
740,4693.4512,4298.6704
742,4449.1543,4694.6152
744,4618.8013,4967.4233
746,4864.4175,4980.3682
748,4452.3291,4736.6899
750,4546.8984,4376.835
752,4855.937,4082.6663
754,4668.0791,3984.7156
756,4624.647,4146.8862
758,5304.7998,4565.7764
760,4979.7036,5156.043
762,5400.1982,5722.0977
764,4878.8374,6022.9839
766,4837.6143,5923.7881
768,5411.5313,5516.478
770,5457.5845,5035.0469
772,5741.4849,4703.1094
774,6170.4546,4645.9175
776,6069.4058,4906.2036
778,6596.6611,5444.5957
780,6750.7993,6129.188
782,5483.8271,6726.9331
784,4888.6094,7023.2627
786,5713.3398,6956.502
788,6821.8052,6641.4507
790,7127.4072,6274.4351
792,7060.5454,6041.0313
794,6769.3257,6020.9565
796,6802.1104,6210.2861
798,7252.5083,6504.9722
800,6660.4297,6766.5215
